PLSCT00000016654	GO:0004609,GO:0008654
PLSCT00000007050	GO:0006221,GO:0009041
PLSCT00000004914	GO:0008839,GO:0009089,GO:0055114
PLSCT00000001160	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0030246
PLSCT00000001889	GO:0005515,GO:0051260
PLSCT00000021376	GO:0005488,GO:0006886,GO:0016192,GO:0030117
PLSCT00000005279	GO:0003743,GO:0005525,GO:0005622,GO:0006413
PLSCT00000020957	GO:0005515
PLSCT00000013315	GO:0000103,GO:0004781,GO:0004781
PLSCT00000009999	GO:0003735,GO:0005840,GO:0006412
PLSCT00000018559	GO:0009019,GO:0030488
PLSCT00000021075	GO:0048193
PLSCT00000009680	GO:0003980,GO:0006486
PLSCT00000013385	GO:0004871,GO:0048513,GO:0060918,GO:0005515
PLSCT00000015693	GO:0005978,GO:0008878,GO:0009058,GO:0016779
PLSCT00000005590	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000001297	GO:0005515
PLSCT00000018883	GO:0003824,GO:0008152
PLSCT00000006810	GO:0004143,GO:0007205,GO:0016301
PLSCT00000000762	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0004672,GO:0007049,GO:0005524
PLSCT00000019126	GO:0004843,GO:0016579
PLSCT00000015459	GO:0016817
PLSCT00000008057	GO:0006508,GO:0008233,GO:0008237
PLSCT00000013505	GO:0005515,GO:0005515,GO:0008270,GO:0005634,GO:0006325
PLSCT00000009077	GO:0005525,GO:0006614,GO:0006614,GO:0008312,GO:0048500
PLSCT00000003736	GO:0003677,GO:0003700,GO:0006355,GO:0003700,GO:0006355,GO:0007275
PLSCT00000002212	GO:0000289,GO:0004535,GO:0003676
PLSCT00000018428	GO:0003676,GO:0046872
PLSCT00000008316	GO:0003735,GO:0005739,GO:0009512,GO:0017004,GO:0045158
PLSCT00000003485	GO:0003676,GO:0005524
PLSCT00000010730	GO:0003677
PLSCT00000010025	GO:0001522,GO:0003723,GO:0009451,GO:0009982
PLSCT00000010963	GO:0003677,GO:0005524,GO:0006259,GO:0008094,GO:0003697,GO:0005524,GO:0006281
PLSCT00000007371	GO:0005515,GO:0008270
PLSCT00000003626	GO:0003824,GO:0005992,GO:0003825,GO:0005992
PLSCT00000008626	GO:0000724,GO:0006281,GO:0007062,GO:0030915,GO:0006281,GO:0030915,GO:0071139
PLSCT00000017317	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000011945	GO:0000166
PLSCT00000020216	GO:0019904
PLSCT00000003204	GO:0003995,GO:0055114,GO:0008152,GO:0016627,GO:0055114,GO:0016627,GO:0055114
PLSCT00000003258	GO:0005488
PLSCT00000003036	GO:0005524
PLSCT00000017996	GO:0015031
PLSCT00000002231	GO:0006662,GO:0015035,GO:0045454,GO:0045454
PLSCT00000006717	GO:0003677
PLSCT00000007488	GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000015132	GO:0003824,GO:0005975,GO:0030246,GO:0004553,GO:0005975
PLSCT00000002543	GO:0005783,GO:0016021,GO:0016021
PLSCT00000002338	GO:0008080
PLSCT00000019088	GO:0008168,GO:0031167
PLSCT00000000212	GO:0005488
PLSCT00000011899	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005515,GO:0005524
PLSCT00000003707	GO:0004553,GO:0005975,GO:0005975,GO:0033947
PLSCT00000001112	GO:0016787
PLSCT00000003371	GO:0000166,GO:0003676
PLSCT00000014744	GO:0005634,GO:0006281,GO:0030915
PLSCT00000016476	GO:0005515,GO:0005515,GO:0008270
PLSCT00000019833	GO:0004089,GO:0008270,GO:0004089,GO:0008270,GO:0015976
PLSCT00000012543	GO:0004601,GO:0006979,GO:0020037,GO:0055114
PLSCT00000006482	GO:0016021,GO:0051205
PLSCT00000003287	GO:0003677,GO:0003700,GO:0006355
PLSCT00000021617	GO:0004096,GO:0004096,GO:0006979,GO:0020037,GO:0055114,GO:0004096,GO:0020037,GO:0055114,GO:0020037,GO:0055114
PLSCT00000019524	GO:0016021
PLSCT00000005800	GO:0005524,GO:0006139,GO:0019205
PLSCT00000004927	GO:0008152,GO:0016491,GO:0016620,GO:0055114,GO:0008152,GO:0016491,GO:0055114
PLSCT00000018160	GO:0009813,GO:0045430,GO:0016872
PLSCT00000007823	GO:0009245,GO:0016410
PLSCT00000008253	GO:0004177,GO:0005622,GO:0006508,GO:0004177,GO:0005737,GO:0008235,GO:0019538,GO:0030145
PLSCT00000012436	GO:0004857,GO:0005618,GO:0030599,GO:0042545
PLSCT00000016582	GO:0003861,GO:0008152
PLSCT00000016724	GO:0030001,GO:0046872
PLSCT00000005826	GO:0004176,GO:0004252,GO:0005524,GO:0030163,GO:0004176,GO:0004252,GO:0006508
PLSCT00000001794	GO:0005515
PLSCT00000002795	GO:0005515
PLSCT00000013638	GO:0004550,GO:0006165,GO:0006183,GO:0006228,GO:0006241
PLSCT00000000994	GO:0016620,GO:0055114
PLSCT00000005852	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000010041	GO:0003677,GO:0003918,GO:0005524,GO:0006265
PLSCT00000001600	GO:0000786,GO:0003677,GO:0005634,GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
PLSCT00000017785	GO:0004222,GO:0005524,GO:0006508
PLSCT00000019740	GO:0000166,GO:0000166,GO:0046872,GO:0005388,GO:0005524,GO:0016020,GO:0070588,GO:0005516,GO:0016021
PLSCT00000008627	GO:0008121,GO:0055114,GO:0016020,GO:0055114,GO:0016491,GO:0051537,GO:0055114,GO:0016679,GO:0055114
PLSCT00000002617	GO:0005515
PLSCT00000007931	GO:0003824,GO:0009058
PLSCT00000020628	GO:0008270
PLSCT00000007401	GO:0003677,GO:0008270
PLSCT00000004587	GO:0001510,GO:0008168,GO:0005634,GO:0006364,GO:0008168,GO:0008168,GO:0032259,GO:0008649,GO:0031167
PLSCT00000021619	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000006297	GO:0004842,GO:0016567,GO:0005488,GO:0005515
PLSCT00000004217	GO:0004852,GO:0033014
PLSCT00000011936	GO:0004672,GO:0005524,GO:0006468
PLSCT00000016319	GO:0004525,GO:0006396
PLSCT00000018371	GO:0005515
PLSCT00000005391	GO:0005622,GO:0006886,GO:0006886
PLSCT00000020014	GO:0005515
PLSCT00000019703	GO:0005515,GO:0008270
PLSCT00000016995	GO:0005615
PLSCT00000013070	GO:0055085
PLSCT00000019301	GO:0046983
PLSCT00000016615	GO:0005515
PLSCT00000016279	GO:0006479,GO:0008168
PLSCT00000012094	GO:0009765,GO:0016020
PLSCT00000012853	GO:0000398,GO:0046540,GO:0005634,GO:0005737,GO:0006606,GO:0008565
PLSCT00000013842	GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000012213	GO:0003899,GO:0005634,GO:0006351
PLSCT00000020923	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000007846	GO:0003824,GO:0004722,GO:0006470
PLSCT00000020666	GO:0005525
PLSCT00000008527	GO:0005488,GO:0005515,GO:0005634,GO:0005737,GO:0006606,GO:0008565
PLSCT00000010812	GO:0004042,GO:0005737,GO:0006526,GO:0008080
PLSCT00000002431	GO:0016021
PLSCT00000001686	GO:0016021
PLSCT00000007300	GO:0003824,GO:0009058
PLSCT00000004778	GO:0000166,GO:0003676
