Repeat type	Number	Size total (kb)	Size mean (bp)	% of the genome	/!\Results are rounding to two decimal places 
AAM94318.1	1	0.31	306.00	0.00
CAB53448.1	2	0.38	189.00	0.00
CAD12891.1	1	0.12	123.00	0.00
AF104023_1	4	1.22	305.25	0.00
NP_174872.1	1	1.11	1115.00	0.00
NP_680163.1	4	3.73	931.50	0.00
BAB86165.1	1	2.16	2163.00	0.00
NP_671759.1	1	1.44	1439.00	0.00
NP_680263.1	2	0.54	268.50	0.00
AC091734_10	1	0.20	204.00	0.00
AC007843_2	3	0.95	316.00	0.00
BAB21132.1	1	1.08	1079.00	0.00
CAA12932.1	5	1.55	310.20	0.00
S72489	1	0.23	234.00	0.00
NP_191531.1	4	3.77	941.50	0.00
BAA75236.1	5	1.71	342.00	0.00
C84500	3	1.72	572.00	0.00
BAB02143.1	1	0.40	396.00	0.00
BAC19919.1	4	2.88	721.25	0.00
AAD12998.1	1	1.53	1534.00	0.00
T04759	1	0.40	395.00	0.00
NP_680583.1	1	0.19	186.00	0.00
AF378075_1	1	0.28	279.00	0.00
AC021891_13	2	0.91	457.00	0.00
NP_192299.2	1	1.22	1223.00	0.00
T04112	1	1.57	1572.00	0.00
AC097446_19	2	0.55	276.00	0.00
BAB68043.1	1	1.77	1773.00	0.00
AF104027_1	2	0.50	250.50	0.00
BAC55984.1	1	0.76	759.00	0.00
AC119149_12	1	0.62	624.00	0.00
AF492763_1	1	0.79	793.00	0.00
H96496	1	0.28	276.00	0.00
NP_680671.1	1	0.99	990.00	0.00
AC068654_7	1	0.44	438.00	0.00
AAN04191.1	2	1.09	544.50	0.00
BAA22288.1	2	1.15	574.50	0.00
T14620	1	0.20	195.00	0.00
NP_179574.1	1	0.23	231.00	0.00
NP_178853.2	2	1.25	623.50	0.00
A47758	1	0.18	177.00	0.00
NP_174874.1	2	3.29	1643.00	0.00
NP_174725.1	4	2.18	545.75	0.00
NP_178851.1	3	2.40	798.67	0.00
S23571	4	0.96	240.00	0.00
BAC20009.1	1	1.52	1518.00	0.00
NP_193321.1	1	0.22	216.00	0.00
NP_178924.1	10	6.85	684.70	0.00
AAO37458.1	1	0.28	285.00	0.00
AF061282_11	2	1.82	908.50	0.00
BAB02630.1	2	2.19	1096.00	0.00
AC120497_12	2	0.45	223.50	0.00
F60767	3	0.93	311.33	0.00
NP_178958.1	1	0.17	171.00	0.00
AF466646_13	1	0.34	339.00	0.00
BAC22458.1	1	0.51	507.00	0.00
AC113339_6	1	0.41	411.00	0.00
CAA12931.1	1	0.40	398.00	0.00
AAN65018.1	5	3.34	668.80	0.00
BAB40826.1	1	0.19	186.00	0.00
AC079853_14	1	0.67	674.00	0.00
NP_173613.1	1	1.02	1017.00	0.00
AC022352_18	2	2.48	1239.00	0.00
AF061282_8	1	1.46	1459.00	0.00
BAC21558.1	1	0.24	240.00	0.00
NP_178559.2	3	0.75	249.00	0.00
BAB02145.1	2	0.61	304.50	0.00
AAD20307.1	1	2.34	2337.00	0.00
AC090714_9	2	1.06	529.00	0.00
S23312	1	0.37	374.00	0.00
AF149413_16	1	0.42	416.00	0.00
AC069324_3	1	0.32	324.00	0.00
NP_192290.1	4	2.13	533.00	0.00
AAN34944.1	2	0.90	451.50	0.00
NP_680670.1	1	1.32	1322.00	0.00
NP_174966.1	3	2.98	993.00	0.00
AC090882_16	5	2.53	506.40	0.00
AF321458_1	2	0.64	321.00	0.00
AAB48346.1	2	0.51	256.50	0.00
AAN64452.1	1	0.31	306.00	0.00
H46200	1	0.24	237.00	0.00
BAB10876.1	1	1.53	1527.00	0.00
T10746	1	0.20	201.00	0.00
NP_179010.1	2	1.78	888.50	0.00
NP_178888.1	1	0.91	908.00	0.00
AAN05391.1	1	0.52	516.00	0.00
AAB48344.1	2	0.49	243.00	0.00
I50438	2	0.32	160.50	0.00
AF369930_1	5	3.05	609.60	0.00
AAO23102.1	2	0.74	369.00	0.00
BAA81778.1	3	4.75	1581.67	0.00
AF287471_1	3	3.30	1099.00	0.00
AF229252_1	1	0.77	770.00	0.00
NP_565367.1	1	0.71	711.00	0.00
T14518	1	0.34	336.00	0.00
T12085	4	3.38	844.00	0.00
AF478375_1	11	2.27	206.45	0.00
POLB_MAIZE	6	1.31	218.50	0.00
AAG13367.1	10	4.84	484.50	0.00
H96501	1	1.29	1288.00	0.00
AAF71196.1	1	0.39	387.00	0.00
AAN73844.1	5	1.07	214.40	0.00
BAB01212.1	4	3.04	759.50	0.00
NP_175169.1	5	3.31	661.80	0.00
T03621	2	0.24	121.50	0.00
AF104020_1	1	0.36	363.00	0.00
XP_207322.1	1	0.36	363.00	0.00
F47758	1	0.13	126.00	0.00
BAB89929.1	1	1.55	1547.00	0.00
AF478371_1	8	2.72	339.75	0.00
NP_178718.1	1	1.97	1971.00	0.00
NP_189594.1	1	0.37	369.00	0.00
AC023240_11	1	0.89	891.00	0.00
NP_175090.1	1	1.38	1377.00	0.00
NP_189623.1	1	0.23	231.00	0.00
NP_179340.1	2	1.49	747.00	0.00
BAC21313.1	2	0.99	493.50	0.00
AF458768_1	1	0.87	869.00	0.00
BAC19914.1	6	1.92	320.00	0.00
AF284693_1	2	0.32	159.00	0.00
T04303	2	0.46	229.50	0.00
