SequenceID	Number_of_Hit	Total_bp
scaffold_1110	1	96
scaffold_120	1	452
scaffold_822	1	96
scaffold_11031	1	223
scaffold_973	1	226
scaffold_577	1	111
scaffold_2255	1	367
scaffold_223	1	396
scaffold_704	1	156
scaffold_2638	1	101
scaffold_662	1	208
scaffold_24340	1	98
scaffold_306	1	126
scaffold_943	1	335
scaffold_2009	1	747
scaffold_485	1	76
scaffold_11139	1	88
scaffold_693	1	284
scaffold_322	1	88
scaffold_101	1	211
scaffold_1787	1	368
scaffold_3476	1	271
scaffold_325	1	670
scaffold_20	1	229
scaffold_4236	1	144
scaffold_1036	1	361
scaffold_342	1	124
scaffold_612	1	636
scaffold_82	1	1157
scaffold_9050	1	570
scaffold_3927	1	633
scaffold_3344	1	288
scaffold_7539	1	138
scaffold_750	1	372
scaffold_15950	1	83
scaffold_351	1	165
scaffold_287	1	229
scaffold_472	1	1023
scaffold_1888	1	266
scaffold_802	1	318
scaffold_890	1	578
scaffold_1348	1	252
scaffold_1011	1	129
scaffold_31	1	116
scaffold_415	1	362
scaffold_6301	1	174
scaffold_264	1	227
scaffold_2552	1	1233
scaffold_20475	1	760
scaffold_166	1	344
scaffold_17028	1	465
scaffold_105	1	140
scaffold_586	1	291
scaffold_1702	1	463
scaffold_561	1	84
scaffold_1115	1	223
scaffold_24801	1	491
scaffold_1674	1	112
scaffold_1394	1	363
scaffold_270	1	101
scaffold_7954	1	422
scaffold_78	1	176
scaffold_10896	1	132
scaffold_678	1	134
scaffold_1205	1	289
scaffold_23002	1	224
scaffold_2156	1	317
scaffold_2561	1	135
scaffold_2276	1	158
scaffold_62	1	585
scaffold_8265	1	233
scaffold_8732	1	670
scaffold_54	1	347
scaffold_3918	1	145
scaffold_3718	1	204
scaffold_333	1	158
scaffold_176	1	155
scaffold_17879	1	93
scaffold_4016	1	197
scaffold_914	1	100
scaffold_622	1	409
scaffold_1124	1	209
scaffold_893	1	189
scaffold_1408	1	188
scaffold_1171	1	176
scaffold_1262	1	743
scaffold_3491	1	101
scaffold_701	1	450
scaffold_1187	1	101
scaffold_160	1	865
scaffold_1979	1	354
scaffold_3566	1	227
scaffold_669	1	168
scaffold_1170	1	135
scaffold_3389	1	279
scaffold_87	1	186
scaffold_3292	1	196
scaffold_397	1	244
scaffold_1476	1	935
scaffold_1020	1	1207
scaffold_5725	1	95
scaffold_16684	1	95
scaffold_725	1	1784
scaffold_354	1	1506
scaffold_56	1	733
scaffold_4046	1	183
scaffold_9714	1	372
scaffold_1088	1	224
scaffold_23776	1	127
scaffold_81	1	93
scaffold_355	1	102
scaffold_121	1	261
scaffold_1039	1	267
scaffold_2734	1	159
scaffold_3680	1	697
scaffold_39	1	709
scaffold_590	1	146
scaffold_175	1	182
scaffold_24670	1	79
scaffold_100	1	195
scaffold_558	1	181
scaffold_18	1	251
scaffold_928	1	302
scaffold_155	1	771
scaffold_1507	1	85
scaffold_1112	1	303
scaffold_149	1	126
scaffold_15	1	121
scaffold_2295	1	127
scaffold_728	1	140
scaffold_95	1	214
scaffold_3089	1	257
scaffold_585	1	419
scaffold_8746	1	86
scaffold_118	1	189
scaffold_4473	1	280
scaffold_240	2	1152
scaffold_460	2	1501
scaffold_729	2	467
scaffold_787	2	824
scaffold_3555	2	632
scaffold_956	2	2763
scaffold_998	2	636
scaffold_902	2	1486
scaffold_343	2	517
scaffold_23021	2	839
scaffold_233	2	986
scaffold_146	2	1292
scaffold_781	2	724
scaffold_10663	2	237
scaffold_321	2	500
scaffold_192	2	244
scaffold_1850	2	659
scaffold_1194	2	366
scaffold_364	2	643
scaffold_2433	2	1157
scaffold_826	2	427
scaffold_6	2	657
scaffold_775	2	1403
scaffold_138	2	315
scaffold_1442	2	238
scaffold_11035	2	352
scaffold_740	2	688
scaffold_1118	2	619
scaffold_308	2	1171
scaffold_132	2	1032
scaffold_2265	3	1013
scaffold_1711	3	467
scaffold_112	3	1405
scaffold_859	4	959
scaffold_3278	4	1213
scaffold_161	4	1478
scaffold_935	4	672
