PLSCT00000016654	InterPro:IPR003817,InterPro:IPR033177
PLSCT00000007050	InterPro:IPR001048,InterPro:IPR011817
PLSCT00000000340	InterPro:IPR012336
PLSCT00000004914	InterPro:IPR016040,InterPro:IPR022663,InterPro:IPR023940
PLSCT00000004561	InterPro:IPR008598,InterPro:IPR033347
PLSCT00000016951	InterPro:IPR013899
PLSCT00000001160	InterPro:IPR000719,InterPro:IPR001220,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR013320
PLSCT00000001889	InterPro:IPR003131,InterPro:IPR011047,InterPro:IPR011333,InterPro:IPR015943
PLSCT00000020572	InterPro:IPR032830
PLSCT00000021376	InterPro:IPR002553,InterPro:IPR011989,InterPro:IPR016024
PLSCT00000005279	InterPro:IPR000178,InterPro:IPR009000,InterPro:IPR023115,InterPro:IPR027417
PLSCT00000020957	InterPro:IPR000210,InterPro:IPR011333
PLSCT00000013315	InterPro:IPR002650,InterPro:IPR014729,InterPro:IPR015947,InterPro:IPR024951,InterPro:IPR025980
PLSCT00000009999	InterPro:IPR000630
PLSCT00000018559	InterPro:IPR025792,InterPro:IPR029063,InterPro:IPR030382
PLSCT00000021075	InterPro:IPR024095
PLSCT00000009680	InterPro:IPR009448,InterPro:IPR029044
PLSCT00000013385	InterPro:IPR000210,InterPro:IPR011333,InterPro:IPR027356,InterPro:IPR029961
PLSCT00000015693	InterPro:IPR005835,InterPro:IPR005836,InterPro:IPR011004,InterPro:IPR029044
PLSCT00000005590	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441
PLSCT00000001297	InterPro:IPR015915
PLSCT00000018883	InterPro:IPR001345,InterPro:IPR013078,InterPro:IPR029033
PLSCT00000006810	InterPro:IPR000756,InterPro:IPR001206,InterPro:IPR016064
PLSCT00000002833	InterPro:IPR006461
PLSCT00000000762	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441,InterPro:IPR030616
PLSCT00000019126	InterPro:IPR003323,InterPro:IPR031084
PLSCT00000015459	InterPro:IPR024076
PLSCT00000008057	InterPro:IPR008757,InterPro:IPR024079
PLSCT00000013505	InterPro:IPR001965,InterPro:IPR011011,InterPro:IPR013083,InterPro:IPR019786,InterPro:IPR019787,InterPro:IPR024610,InterPro:IPR028651
PLSCT00000005447	InterPro:IPR015063
PLSCT00000009077	InterPro:IPR000897,InterPro:IPR003593,InterPro:IPR004125,InterPro:IPR013822,InterPro:IPR027417
PLSCT00000003736	InterPro:IPR001471,InterPro:IPR016177,InterPro:IPR031112
PLSCT00000002212	InterPro:IPR001374,InterPro:IPR006941,InterPro:IPR012337
PLSCT00000007210	InterPro:IPR006671,InterPro:IPR013763,InterPro:IPR031658
PLSCT00000019961	InterPro:IPR025198
PLSCT00000018428	InterPro:IPR000467,InterPro:IPR000571
PLSCT00000008316	InterPro:IPR005497,InterPro:IPR032053
PLSCT00000003485	InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR027417
PLSCT00000015371	InterPro:IPR010987
PLSCT00000014382	InterPro:IPR019448
PLSCT00000010730	InterPro:IPR001005,InterPro:IPR009057,InterPro:IPR017930
PLSCT00000010025	InterPro:IPR020103
PLSCT00000010963	InterPro:IPR013765,InterPro:IPR020584,InterPro:IPR020587,InterPro:IPR023400,InterPro:IPR027417
PLSCT00000007371	InterPro:IPR001841,InterPro:IPR013083,InterPro:IPR017907
PLSCT00000003626	InterPro:IPR001830,InterPro:IPR003337,InterPro:IPR012766
PLSCT00000008626	InterPro:IPR027131,InterPro:IPR027417,InterPro:IPR033268
PLSCT00000017317	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000008090	InterPro:IPR002575,InterPro:IPR004147,InterPro:IPR011009
PLSCT00000011945	InterPro:IPR005120,InterPro:IPR012677
PLSCT00000009128	InterPro:IPR005269,InterPro:IPR031100
PLSCT00000020216	InterPro:IPR000308,InterPro:IPR023409,InterPro:IPR023410
PLSCT00000002574	InterPro:IPR019378
PLSCT00000003204	InterPro:IPR006091,InterPro:IPR009075,InterPro:IPR009100
PLSCT00000003258	InterPro:IPR016024
PLSCT00000003036	InterPro:IPR000330,InterPro:IPR014001,InterPro:IPR027417
PLSCT00000017996	InterPro:IPR005061
PLSCT00000002231	InterPro:IPR005746,InterPro:IPR012336,InterPro:IPR013766,InterPro:IPR017937
PLSCT00000006717	InterPro:IPR003035,InterPro:IPR009057
PLSCT00000007488	InterPro:IPR001210,InterPro:IPR018273
PLSCT00000015132	InterPro:IPR000322,InterPro:IPR011013,InterPro:IPR017853,InterPro:IPR017868,InterPro:IPR025887
PLSCT00000002543	InterPro:IPR006634,InterPro:IPR016439
PLSCT00000002338	InterPro:IPR000182,InterPro:IPR016181
PLSCT00000006649	InterPro:IPR013830
PLSCT00000015548	InterPro:IPR032063
PLSCT00000019088	InterPro:IPR004398,InterPro:IPR029063
PLSCT00000011303	InterPro:IPR008030,InterPro:IPR016040
PLSCT00000000212	InterPro:IPR008383,InterPro:IPR011989,InterPro:IPR016024
PLSCT00000011899	InterPro:IPR000719,InterPro:IPR001611,InterPro:IPR008266,InterPro:IPR011009,InterPro:IPR013320,InterPro:IPR017441,InterPro:IPR032675
PLSCT00000003854	InterPro:IPR024462
PLSCT00000004415	InterPro:IPR011692
PLSCT00000003707	InterPro:IPR006102,InterPro:IPR008979,InterPro:IPR013781,InterPro:IPR013812,InterPro:IPR017853,InterPro:IPR028787
PLSCT00000001112	InterPro:IPR003140,InterPro:IPR029058
PLSCT00000003371	InterPro:IPR000504,InterPro:IPR012677
PLSCT00000014744	InterPro:IPR027786
PLSCT00000016476	InterPro:IPR001965,InterPro:IPR011011,InterPro:IPR013083,InterPro:IPR018501,InterPro:IPR019786,InterPro:IPR019787
PLSCT00000019833	InterPro:IPR001765,InterPro:IPR015892
PLSCT00000012543	InterPro:IPR000823,InterPro:IPR002016,InterPro:IPR010255
PLSCT00000006482	InterPro:IPR001708
PLSCT00000003287	InterPro:IPR001471,InterPro:IPR016177
PLSCT00000021617	InterPro:IPR011614,InterPro:IPR018028,InterPro:IPR020835,InterPro:IPR024708
PLSCT00000019524	InterPro:IPR005344
PLSCT00000005800	InterPro:IPR000850,InterPro:IPR027417
PLSCT00000004927	InterPro:IPR015590,InterPro:IPR016160,InterPro:IPR016161,InterPro:IPR016162,InterPro:IPR016163
PLSCT00000010772	InterPro:IPR013078,InterPro:IPR029033
PLSCT00000004893	InterPro:IPR010099,InterPro:IPR013549
PLSCT00000018160	InterPro:IPR016087,InterPro:IPR016088
PLSCT00000013267	InterPro:IPR027417
