PLSCT00000016654	PFAM:PF02666
PLSCT00000007050	PFAM:PF00696
PLSCT00000004914	PFAM:PF05173
PLSCT00000004561	PFAM:PF05605
PLSCT00000016951	PFAM:PF08590
PLSCT00000001160	PFAM:PF00069,PFAM:PF00139
PLSCT00000001889	PFAM:PF02214
PLSCT00000020572	PFAM:PF13625
PLSCT00000021376	PFAM:PF01602
PLSCT00000005279	PFAM:PF00009,PFAM:PF11987
PLSCT00000020957	PFAM:PF00651
PLSCT00000013315	PFAM:PF01747,PFAM:PF14306
PLSCT00000009999	PFAM:PF00410
PLSCT00000018559	PFAM:PF02475
PLSCT00000013385	PFAM:PF00651,PFAM:PF03000
PLSCT00000015693	PFAM:PF00483
PLSCT00000005590	PFAM:PF07714
PLSCT00000018883	PFAM:PF00300
PLSCT00000006810	PFAM:PF00609,PFAM:PF00781
PLSCT00000002833	PFAM:PF04749
PLSCT00000000762	PFAM:PF00069
PLSCT00000019126	PFAM:PF02338
PLSCT00000008057	PFAM:PF05547
PLSCT00000016838	PFAM:PF13650
PLSCT00000013505	PFAM:PF12998
PLSCT00000005447	PFAM:PF08969
PLSCT00000009077	PFAM:PF00448,PFAM:PF02978
PLSCT00000003736	PFAM:PF00847
PLSCT00000002212	PFAM:PF04857
PLSCT00000007210	PFAM:PF00134,PFAM:PF16899
PLSCT00000019961	PFAM:PF13089
PLSCT00000018428	PFAM:PF01585
PLSCT00000008316	PFAM:PF03742,PFAM:PF16053
PLSCT00000003485	PFAM:PF00270,PFAM:PF00271
PLSCT00000015371	PFAM:PF13410
PLSCT00000014382	PFAM:PF10358
PLSCT00000010730	PFAM:PF00249
PLSCT00000010963	PFAM:PF00154
PLSCT00000007371	PFAM:PF13639
PLSCT00000003626	PFAM:PF00982,PFAM:PF02358
PLSCT00000008626	PFAM:PF13476
PLSCT00000017317	PFAM:PF07714
PLSCT00000008090	PFAM:PF01636,PFAM:PF03109
PLSCT00000011945	PFAM:PF03467
PLSCT00000009128	PFAM:PF03641
PLSCT00000020216	PFAM:PF00244
PLSCT00000002574	PFAM:PF10250
PLSCT00000003204	PFAM:PF00441,PFAM:PF02770
PLSCT00000003036	PFAM:PF00176
PLSCT00000017996	PFAM:PF03398
PLSCT00000002231	PFAM:PF00085
PLSCT00000006717	PFAM:PF02042
PLSCT00000007488	PFAM:PF00833
PLSCT00000015132	PFAM:PF01055,PFAM:PF13802
PLSCT00000002543	PFAM:PF03798
PLSCT00000002338	PFAM:PF00583
PLSCT00000015548	PFAM:PF16062
PLSCT00000019088	PFAM:PF03602
PLSCT00000011303	PFAM:PF05368
PLSCT00000000212	PFAM:PF05918
PLSCT00000011899	PFAM:PF00069,PFAM:PF13855
PLSCT00000003854	PFAM:PF12215
PLSCT00000004415	PFAM:PF07712
PLSCT00000003707	PFAM:PF00703
PLSCT00000001112	PFAM:PF02230
PLSCT00000003371	PFAM:PF00076
PLSCT00000016476	PFAM:PF00628,PFAM:PF02791
PLSCT00000019833	PFAM:PF00484
PLSCT00000012543	PFAM:PF00141
PLSCT00000003287	PFAM:PF00847
PLSCT00000021617	PFAM:PF00199
PLSCT00000019524	PFAM:PF03661
PLSCT00000005800	PFAM:PF13207
PLSCT00000004927	PFAM:PF00171
PLSCT00000010772	PFAM:PF00300
PLSCT00000004893	PFAM:PF08338
PLSCT00000018160	PFAM:PF02431
PLSCT00000011812	PFAM:PF07250,PFAM:PF09118
PLSCT00000007823	PFAM:PF00132
PLSCT00000020160	PFAM:PF04266
PLSCT00000008253	PFAM:PF00883
PLSCT00000021191	PFAM:PF14769
PLSCT00000012436	PFAM:PF01095,PFAM:PF04043
PLSCT00000016582	PFAM:PF00330
PLSCT00000011599	PFAM:PF06094
PLSCT00000016724	PFAM:PF00403
PLSCT00000005826	PFAM:PF05362
PLSCT00000003677	PFAM:PF02466
PLSCT00000002795	PFAM:PF13176,PFAM:PF13181,PFAM:PF13424
PLSCT00000013638	PFAM:PF00334
PLSCT00000000994	PFAM:PF02800
PLSCT00000005852	PFAM:PF07714,PFAM:PF08263
PLSCT00000010041	PFAM:PF02518
PLSCT00000001600	PFAM:PF15511
PLSCT00000011226	PFAM:PF00294
PLSCT00000017785	PFAM:PF01434
PLSCT00000017934	PFAM:PF03029
PLSCT00000019740	PFAM:PF00122,PFAM:PF00690,PFAM:PF12515,PFAM:PF13246
PLSCT00000008627	PFAM:PF00355,PFAM:PF02921
PLSCT00000007931	PFAM:PF02567
PLSCT00000005511	PFAM:PF05022
PLSCT00000000249	PFAM:PF09731
PLSCT00000020628	PFAM:PF12906
PLSCT00000003920	PFAM:PF13664
PLSCT00000007401	PFAM:PF02362,PFAM:PF07496
PLSCT00000004587	PFAM:PF01728,PFAM:PF07780,PFAM:PF11861
PLSCT00000021619	PFAM:PF00069
PLSCT00000003581	PFAM:PF01170
PLSCT00000019213	PFAM:PF03109
PLSCT00000006297	PFAM:PF00514,PFAM:PF04564
PLSCT00000004217	PFAM:PF02602
PLSCT00000011936	PFAM:PF03109
PLSCT00000018371	PFAM:PF08513
PLSCT00000005391	PFAM:PF00790,PFAM:PF03127
