PLSCT00000016654	PANTHER:PTHR10067,PANTHER:PTHR10067:SF2
PLSCT00000007050	PANTHER:PTHR21499,PANTHER:PTHR21499:SF23
PLSCT00000000340	PANTHER:PTHR36076
PLSCT00000004914	PANTHER:PTHR20836,PANTHER:PTHR20836:SF2
PLSCT00000004561	PANTHER:PTHR31875,PANTHER:PTHR31875:SF2
PLSCT00000001160	PANTHER:PTHR27007
PLSCT00000001889	PANTHER:PTHR11145
PLSCT00000020572	PANTHER:PTHR11274
PLSCT00000021376	PANTHER:PTHR22780,PANTHER:PTHR22780:SF4
PLSCT00000005279	PANTHER:PTHR23115,PANTHER:PTHR23115:SF138
PLSCT00000020957	PANTHER:PTHR24413,PANTHER:PTHR24413:SF107
PLSCT00000013315	PANTHER:PTHR11055,PANTHER:PTHR11055:SF18
PLSCT00000011324	PANTHER:PTHR34967,PANTHER:PTHR34967:SF1
PLSCT00000021464	PANTHER:PTHR11909,PANTHER:PTHR11909:SF73
PLSCT00000009999	PANTHER:PTHR11758,PANTHER:PTHR11758:SF16
PLSCT00000018559	PANTHER:PTHR23245,PANTHER:PTHR23245:SF36
PLSCT00000021075	PANTHER:PTHR10013
PLSCT00000009680	PANTHER:PTHR11226
PLSCT00000013385	PANTHER:PTHR32370,PANTHER:PTHR32370:SF7
PLSCT00000015693	PANTHER:PTHR22572,PANTHER:PTHR22572:SF79
PLSCT00000005590	PANTHER:PTHR23257
PLSCT00000001297	PANTHER:PTHR32133,PANTHER:PTHR32133:SF141
PLSCT00000018883	PANTHER:PTHR23029,PANTHER:PTHR23029:SF18
PLSCT00000006810	PANTHER:PTHR11255
PLSCT00000002833	PANTHER:PTHR15907,PANTHER:PTHR15907:SF43
PLSCT00000018893	PANTHER:PTHR33982,PANTHER:PTHR33982:SF1
PLSCT00000000762	PANTHER:PTHR24350
PLSCT00000019126	PANTHER:PTHR12419,PANTHER:PTHR12419:SF4
PLSCT00000015459	PANTHER:PTHR12029,PANTHER:PTHR12029:SF11
PLSCT00000008057	PANTHER:PTHR22935,PANTHER:PTHR22935:SF68
PLSCT00000013505	PANTHER:PTHR10333
PLSCT00000005447	PANTHER:PTHR12947,PANTHER:PTHR12947:SF10
PLSCT00000009077	PANTHER:PTHR11564,PANTHER:PTHR11564:SF19
PLSCT00000003736	PANTHER:PTHR32467,PANTHER:PTHR32467:SF32
PLSCT00000015407	PANTHER:PTHR35991,PANTHER:PTHR35991:SF1
PLSCT00000002212	PANTHER:PTHR15092,PANTHER:PTHR15092:SF22
PLSCT00000007210	PANTHER:PTHR10026
PLSCT00000019961	PANTHER:PTHR30218,PANTHER:PTHR30218:SF0
PLSCT00000018428	PANTHER:PTHR23329,PANTHER:PTHR23329:SF2
PLSCT00000008316	PANTHER:PTHR35316,PANTHER:PTHR35316:SF1
PLSCT00000003485	PANTHER:PTHR24031,PANTHER:PTHR24031:SF122
PLSCT00000014382	PANTHER:PTHR34452,PANTHER:PTHR34452:SF1
PLSCT00000010730	PANTHER:PTHR10641,PANTHER:PTHR10641:SF649
PLSCT00000010025	PANTHER:PTHR21568
PLSCT00000006433	PANTHER:PTHR31110,PANTHER:PTHR31110:SF2
PLSCT00000010963	PANTHER:PTHR22942,PANTHER:PTHR22942:SF37
PLSCT00000007371	PANTHER:PTHR22937,PANTHER:PTHR22937:SF50
PLSCT00000003626	PANTHER:PTHR10788,PANTHER:PTHR10788:SF6
PLSCT00000008626	PANTHER:PTHR19306,PANTHER:PTHR19306:SF1
PLSCT00000006563	PANTHER:PTHR13164,PANTHER:PTHR13164:SF3
PLSCT00000017317	PANTHER:PTHR23257
PLSCT00000008090	PANTHER:PTHR10566,PANTHER:PTHR10566:SF72
PLSCT00000011945	PANTHER:PTHR13112,PANTHER:PTHR13112:SF0
PLSCT00000009128	PANTHER:PTHR31223,PANTHER:PTHR31223:SF11
PLSCT00000020216	PANTHER:PTHR18860
PLSCT00000002574	PANTHER:PTHR31933,PANTHER:PTHR31933:SF3
PLSCT00000003204	PANTHER:PTHR10909,PANTHER:PTHR10909:SF11
PLSCT00000003036	PANTHER:PTHR10799,PANTHER:PTHR10799:SF598
PLSCT00000017996	PANTHER:PTHR12161
PLSCT00000002231	PANTHER:PTHR10438,PANTHER:PTHR10438:SF258
PLSCT00000006717	PANTHER:PTHR32002,PANTHER:PTHR32002:SF1
PLSCT00000007488	PANTHER:PTHR10732
PLSCT00000015132	PANTHER:PTHR22762,PANTHER:PTHR22762:SF54
PLSCT00000011453	PANTHER:PTHR34686,PANTHER:PTHR34686:SF1
PLSCT00000002543	PANTHER:PTHR12560,PANTHER:PTHR12560:SF13
PLSCT00000002338	PANTHER:PTHR23091,PANTHER:PTHR23091:SF195
PLSCT00000006649	PANTHER:PTHR22835,PANTHER:PTHR22835:SF133
PLSCT00000019088	PANTHER:PTHR18895,PANTHER:PTHR18895:SF60
