SequenceID	Number_of_Hit	Total_bp
scaffold_131	1	191
scaffold_1830	1	150
scaffold_5	1	318
scaffold_2313	1	177
scaffold_731	1	153
scaffold_369	1	259
scaffold_1859	1	198
scaffold_17907	1	123
scaffold_508	1	148
scaffold_33	1	125
scaffold_302	1	99
scaffold_1487	1	167
scaffold_487	1	147
scaffold_913	1	190
scaffold_762	1	199
scaffold_552	1	85
scaffold_3186	1	228
scaffold_26144	1	241
scaffold_1696	1	206
scaffold_917	1	205
scaffold_320	1	138
scaffold_23249	1	922
scaffold_18224	1	90
scaffold_789	1	94
scaffold_6386	1	240
scaffold_882	1	286
scaffold_455	1	318
scaffold_478	1	266
scaffold_1501	1	419
scaffold_38	1	322
scaffold_45	1	131
scaffold_2113	1	366
scaffold_287	1	82
scaffold_2184	1	262
scaffold_4620	1	107
scaffold_1378	1	573
scaffold_24046	1	396
scaffold_3810	1	97
scaffold_14	1	113
scaffold_23957	1	99
scaffold_135	1	151
scaffold_85	1	119
scaffold_770	1	217
scaffold_252	1	127
scaffold_1147	1	120
scaffold_2844	1	137
scaffold_1658	1	191
scaffold_146	1	121
scaffold_264	1	227
scaffold_226	1	86
scaffold_6590	1	92
scaffold_2536	1	232
scaffold_579	1	132
scaffold_741	1	106
scaffold_645	1	344
scaffold_6881	1	104
scaffold_76	1	365
scaffold_1341	1	359
scaffold_377	1	180
scaffold_6827	1	565
scaffold_1368	1	76
scaffold_4284	1	217
scaffold_5541	1	131
scaffold_451	1	210
scaffold_8067	1	140
scaffold_334	1	133
scaffold_1426	1	117
scaffold_2488	1	309
scaffold_24049	1	397
scaffold_1409	1	80
scaffold_2282	1	271
scaffold_2299	1	137
scaffold_1396	1	96
scaffold_129	1	227
scaffold_1807	1	156
scaffold_658	1	145
scaffold_268	1	100
scaffold_3005	1	179
scaffold_140	1	193
scaffold_19591	1	316
scaffold_16397	1	113
scaffold_8265	1	142
scaffold_115	1	91
scaffold_1093	1	404
scaffold_12	1	118
scaffold_241	1	127
scaffold_2339	1	180
scaffold_21421	1	83
scaffold_388	1	141
scaffold_514	1	848
scaffold_4232	1	100
scaffold_17633	1	370
scaffold_819	1	485
scaffold_278	1	155
scaffold_3116	1	159
scaffold_22899	1	1134
scaffold_75	1	613
scaffold_4690	1	186
scaffold_940	1	90
scaffold_10102	1	134
scaffold_494	1	181
scaffold_599	1	126
scaffold_2383	1	221
scaffold_71	1	218
scaffold_1288	1	219
scaffold_204	1	139
scaffold_13197	1	196
scaffold_9959	1	80
scaffold_213	1	312
scaffold_459	1	361
scaffold_3627	1	141
scaffold_753	1	195
scaffold_489	1	173
scaffold_1371	1	115
scaffold_7230	1	185
scaffold_788	1	221
scaffold_23181	1	234
scaffold_446	1	155
scaffold_772	1	301
scaffold_24500	1	117
scaffold_8109	1	124
scaffold_149	1	224
scaffold_132	1	169
scaffold_77	1	115
scaffold_816	1	151
scaffold_118	1	207
scaffold_1994	1	227
scaffold_6468	1	153
scaffold_807	1	245
scaffold_1004	1	283
scaffold_381	1	200
scaffold_127	1	285
scaffold_829	1	711
scaffold_1069	1	129
scaffold_1347	1	168
scaffold_4220	1	95
scaffold_511	1	205
scaffold_40	1	1377
scaffold_322	1	95
scaffold_207	1	695
scaffold_4596	1	100
scaffold_165	1	148
scaffold_49	1	97
scaffold_2195	1	169
scaffold_2705	1	203
scaffold_765	1	334
scaffold_2287	1	196
scaffold_2235	1	289
scaffold_9992	1	157
scaffold_98	1	377
scaffold_3403	1	231
scaffold_2421	1	197
scaffold_3949	1	137
scaffold_27	1	257
scaffold_515	1	240
scaffold_1320	1	111
scaffold_6389	1	88
scaffold_229	1	230
scaffold_2471	1	194
