PLSCT00000020756	HAMAP:MF_00485
PLSCT00000007079	HAMAP:MF_01571
PLSCT00000015682	HAMAP:MF_01813,HAMAP:MF_01982
PLSCT00000002246	HAMAP:MF_00118_B
PLSCT00000011521	HAMAP:MF_01576
PLSCT00000011741	HAMAP:MF_00221
PLSCT00000001795	HAMAP:MF_00163
PLSCT00000008272	HAMAP:MF_00005
PLSCT00000004847	HAMAP:MF_01384
PLSCT00000004650	HAMAP:MF_01210_A,HAMAP:MF_01210_B
PLSCT00000014081	HAMAP:MF_00736
PLSCT00000004168	HAMAP:MF_01635
PLSCT00000004727	HAMAP:MF_00376
PLSCT00000008367	HAMAP:MF_03109
PLSCT00000020587	HAMAP:MF_00444
PLSCT00000001164	HAMAP:MF_01365_B
PLSCT00000002866	HAMAP:MF_00051
PLSCT00000013656	HAMAP:MF_01315
PLSCT00000018163	HAMAP:MF_00508
PLSCT00000002255	HAMAP:MF_00072
PLSCT00000018021	HAMAP:MF_03006
PLSCT00000009999	HAMAP:MF_01302_A
PLSCT00000001389	HAMAP:MF_00235,HAMAP:MF_03172
PLSCT00000004736	HAMAP:MF_00944
PLSCT00000018559	HAMAP:MF_03152
PLSCT00000006412	HAMAP:MF_00455
PLSCT00000000919	HAMAP:MF_01335
PLSCT00000014153	HAMAP:MF_00815
PLSCT00000001211	HAMAP:MF_00139
PLSCT00000019295	HAMAP:MF_01345_B
PLSCT00000014213	HAMAP:MF_00382
PLSCT00000013660	HAMAP:MF_01454
PLSCT00000013864	HAMAP:MF_00966
PLSCT00000021471	HAMAP:MF_03011
PLSCT00000006374	HAMAP:MF_00074
PLSCT00000013523	HAMAP:MF_01925
PLSCT00000007340	HAMAP:MF_00583_B
PLSCT00000011520	HAMAP:MF_01855
PLSCT00000003596	HAMAP:MF_00360
PLSCT00000013250	HAMAP:MF_00374
PLSCT00000005469	HAMAP:MF_01152
PLSCT00000007188	HAMAP:MF_00108
PLSCT00000017143	HAMAP:MF_01611
PLSCT00000015683	HAMAP:MF_01820
PLSCT00000009702	HAMAP:MF_01152
PLSCT00000014022	HAMAP:MF_00469
PLSCT00000015802	HAMAP:MF_00693
PLSCT00000016776	HAMAP:MF_01382
PLSCT00000009867	HAMAP:MF_00547
PLSCT00000008316	HAMAP:MF_00395
PLSCT00000018302	HAMAP:MF_00216
PLSCT00000010966	HAMAP:MF_01478
PLSCT00000005811	HAMAP:MF_00386
PLSCT00000017434	HAMAP:MF_00134_B
PLSCT00000017264	HAMAP:MF_03010
PLSCT00000019471	HAMAP:MF_03048
PLSCT00000013746	HAMAP:MF_01367
PLSCT00000007132	HAMAP:MF_00195
PLSCT00000016671	HAMAP:MF_01931
PLSCT00000007353	HAMAP:MF_00311
PLSCT00000005616	HAMAP:MF_03005
PLSCT00000012895	HAMAP:MF_01345_B
PLSCT00000018165	HAMAP:MF_00097
PLSCT00000016341	HAMAP:MF_00183
PLSCT00000014348	HAMAP:MF_00580
PLSCT00000007167	HAMAP:MF_03212
PLSCT00000001226	HAMAP:MF_03001
PLSCT00000010982	HAMAP:MF_00254,HAMAP:MF_00255
PLSCT00000020601	HAMAP:MF_00736
PLSCT00000010604	HAMAP:MF_00236
PLSCT00000000332	HAMAP:MF_01576
PLSCT00000020820	HAMAP:MF_00909
PLSCT00000007257	HAMAP:MF_01337_A
PLSCT00000003789	HAMAP:MF_00158
PLSCT00000006276	HAMAP:MF_01818
PLSCT00000014641	HAMAP:MF_00547
PLSCT00000020029	HAMAP:MF_00508
PLSCT00000009834	HAMAP:MF_01458
PLSCT00000017715	HAMAP:MF_01331_B
PLSCT00000012566	HAMAP:MF_01855
PLSCT00000007488	HAMAP:MF_00511
PLSCT00000020187	HAMAP:MF_01543
PLSCT00000001958	HAMAP:MF_00614
PLSCT00000017331	HAMAP:MF_01363
PLSCT00000004178	HAMAP:MF_00118_A
PLSCT00000002644	HAMAP:MF_00006
PLSCT00000005513	HAMAP:MF_00206
PLSCT00000009930	HAMAP:MF_00396
PLSCT00000013569	HAMAP:MF_03010
PLSCT00000009921	HAMAP:MF_00741
PLSCT00000016961	HAMAP:MF_00235
PLSCT00000006168	HAMAP:MF_00104
PLSCT00000015417	HAMAP:MF_00011
PLSCT00000007357	HAMAP:MF_03154
PLSCT00000017576	HAMAP:MF_01401
PLSCT00000006213	HAMAP:MF_01478
PLSCT00000001466	HAMAP:MF_00332
