Repeat type	Number	Size total (kb)	Size mean (bp)	% of the genome	/!\Results are rounding to two decimal places 
DNA/TcMar-Stowaway	135	55.02	407.52	0.02
LTR/Copia	914	724.06	792.19	0.23
DNA/hAT-Ac	2098	1188.99	566.72	0.37
LINE/L2	13	1.15	88.23	0.00
DNA/TcMar-Pogo	1035	214.39	207.14	0.07
LTR/ERVK	64	108.94	1702.20	0.03
LINE/Tad1	982	908.53	925.18	0.29
LINE/L1	389	283.24	728.13	0.09
DNA/TcMar-Tigger	345	63.21	183.21	0.02
LTR/DIRS	88	127.21	1445.58	0.04
DNA/Maverick	218	24.37	111.77	0.01
DNA	2186	1007.41	460.84	0.32
LTR/Gypsy	2011	1498.74	745.27	0.47
DNA/TcMar-Tc2	143	73.13	511.37	0.02
DNA/PiggyBac	145	89.28	615.70	0.03
Unknown	175531	74757.37	425.89	23.48
DNA/hAT-Tip100	633	406.83	642.70	0.13
DNA/TcMar-Tc1	423	201.85	477.18	0.06
DNA/MULE-MuDR	46	46.76	1016.43	0.01
LTR/Gypsy-Cigr	100	123.71	1237.06	0.04
DNA/Sola	1862	2173.52	1167.30	0.68
rRNA	400	570.59	1426.47	0.18
LTR/Pao	104	29.76	286.14	0.01
DNA/PIF-Harbinger	268	100.48	374.94	0.03
LINE/L1-Tx1	613	370.42	604.27	0.12
DNA/CMC-EnSpm	1007	832.09	826.31	0.26
DNA/hAT-hobo	61	19.66	322.26	0.01
SINE/tRNA	153	144.66	945.48	0.05
Low_complexity	10024	508.41	50.72	0.16
Simple_repeat	52527	2493.05	47.46	0.78
LTR	35	43.86	1253.09	0.01
Satellite	115	27.14	236.03	0.01
DNA/hAT-Blackjack	73	18.53	253.89	0.01
DNA/hAT-Tag1	539	826.09	1532.63	0.26
RC/Helitron	313	137.55	439.45	0.04
LTR/ERV4	93	22.15	238.14	0.01
Total	255686	90222.09	352.86	28.34
