PLSCT00000020756	PIRSF:PIRSF002116
PLSCT00000003397	PIRSF:PIRSF000868
PLSCT00000003292	PIRSF:PIRSF037093
PLSCT00000018603	PIRSF:PIRSF015892
PLSCT00000014062	PIRSF:PIRSF015730
PLSCT00000001197	PIRSF:PIRSF009360
PLSCT00000016931	PIRSF:PIRSF006060
PLSCT00000002397	PIRSF:PIRSF000530
PLSCT00000015426	PIRSF:PIRSF017259
PLSCT00000012275	PIRSF:PIRSF005604
PLSCT00000001141	PIRSF:PIRSF000361,PIRSF:PIRSF501178
PLSCT00000007629	PIRSF:PIRSF000303
PLSCT00000014577	PIRSF:PIRSF000530
PLSCT00000017993	PIRSF:PIRSF019663,PIRSF:PIRSF500139
PLSCT00000018021	PIRSF:PIRSF037949
PLSCT00000000879	PIRSF:PIRSF009360
PLSCT00000020675	PIRSF:PIRSF037240
PLSCT00000021175	PIRSF:PIRSF000164
PLSCT00000009278	PIRSF:PIRSF000106
PLSCT00000004256	PIRSF:PIRSF000187
PLSCT00000016438	PIRSF:PIRSF009467
PLSCT00000000762	PIRSF:PIRSF000654
PLSCT00000002611	PIRSF:PIRSF015894
PLSCT00000005009	PIRSF:PIRSF037677
PLSCT00000010608	PIRSF:PIRSF004557
PLSCT00000001493	PIRSF:PIRSF026991
PLSCT00000012415	PIRSF:PIRSF000114
PLSCT00000010766	PIRSF:PIRSF005211
PLSCT00000017524	PIRSF:PIRSF035805
PLSCT00000004607	PIRSF:PIRSF000460
PLSCT00000007167	PIRSF:PIRSF000208
PLSCT00000018196	PIRSF:PIRSF008716
PLSCT00000004146	PIRSF:PIRSF039099
PLSCT00000012566	PIRSF:PIRSF000904,PIRSF:PIRSF500210
PLSCT00000001404	PIRSF:PIRSF037207
PLSCT00000017500	PIRSF:PIRSF002155
PLSCT00000009146	PIRSF:PIRSF000168
PLSCT00000010236	PIRSF:PIRSF001549
PLSCT00000002543	PIRSF:PIRSF005225
PLSCT00000013491	PIRSF:PIRSF037993
PLSCT00000006929	PIRSF:PIRSF000114
PLSCT00000011266	PIRSF:PIRSF005902
PLSCT00000017859	PIRSF:PIRSF002158
PLSCT00000019088	PIRSF:PIRSF004553
PLSCT00000019759	PIRSF:PIRSF039133
PLSCT00000007631	PIRSF:PIRSF002290
PLSCT00000018534	PIRSF:PIRSF015840
PLSCT00000010077	PIRSF:PIRSF002122
PLSCT00000016463	PIRSF:PIRSF006221
PLSCT00000014698	PIRSF:PIRSF000654
PLSCT00000019298	PIRSF:PIRSF015588
PLSCT00000008301	PIRSF:PIRSF037471
PLSCT00000012987	PIRSF:PIRSF003033
PLSCT00000012982	PIRSF:PIRSF028937
PLSCT00000016638	PIRSF:PIRSF001363
PLSCT00000015491	PIRSF:PIRSF038186
PLSCT00000003345	PIRSF:PIRSF036417
PLSCT00000019421	PIRSF:PIRSF000412
