PLSCT00000018431	TIGRFAM:TIGR00574
PLSCT00000016654	TIGRFAM:TIGR00163
PLSCT00000017245	TIGRFAM:TIGR01735
PLSCT00000019062	TIGRFAM:TIGR02361
PLSCT00000004168	TIGRFAM:TIGR01474
PLSCT00000004727	TIGRFAM:TIGR00152
PLSCT00000011634	TIGRFAM:TIGR02097
PLSCT00000012053	TIGRFAM:TIGR01772
PLSCT00000005279	TIGRFAM:TIGR00487
PLSCT00000013656	TIGRFAM:TIGR03631
PLSCT00000002255	TIGRFAM:TIGR00231,TIGRFAM:TIGR00503
PLSCT00000013315	TIGRFAM:TIGR00339
PLSCT00000002030	TIGRFAM:TIGR00231
PLSCT00000011598	TIGRFAM:TIGR00597
PLSCT00000001389	TIGRFAM:TIGR01359
PLSCT00000008721	TIGRFAM:TIGR00756
PLSCT00000001168	TIGRFAM:TIGR00231,TIGRFAM:TIGR01394
PLSCT00000002833	TIGRFAM:TIGR01571
PLSCT00000013763	TIGRFAM:TIGR00756
PLSCT00000008057	TIGRFAM:TIGR03296
PLSCT00000014213	TIGRFAM:TIGR01032
PLSCT00000013523	TIGRFAM:TIGR00112
PLSCT00000014342	TIGRFAM:TIGR00836
PLSCT00000017143	TIGRFAM:TIGR03550
PLSCT00000016980	TIGRFAM:TIGR01265
PLSCT00000008237	TIGRFAM:TIGR01330
PLSCT00000020332	TIGRFAM:TIGR01557
PLSCT00000008685	TIGRFAM:TIGR01855
PLSCT00000015972	TIGRFAM:TIGR01038
PLSCT00000006630	TIGRFAM:TIGR00879
PLSCT00000020917	TIGRFAM:TIGR00231
PLSCT00000004832	TIGRFAM:TIGR01297
PLSCT00000003626	TIGRFAM:TIGR02400
PLSCT00000006003	TIGRFAM:TIGR00418
PLSCT00000015679	TIGRFAM:TIGR01557
PLSCT00000009128	TIGRFAM:TIGR00730
PLSCT00000005649	TIGRFAM:TIGR01020
PLSCT00000020820	TIGRFAM:TIGR00065
PLSCT00000002437	TIGRFAM:TIGR01310
PLSCT00000009834	TIGRFAM:TIGR01241
PLSCT00000017331	TIGRFAM:TIGR00061
PLSCT00000004178	TIGRFAM:TIGR00483
PLSCT00000002644	TIGRFAM:TIGR00838
PLSCT00000016932	TIGRFAM:TIGR00727,TIGRFAM:TIGR00728
PLSCT00000020673	TIGRFAM:TIGR02042
PLSCT00000009504	TIGRFAM:TIGR00756
PLSCT00000010907	TIGRFAM:TIGR00817
PLSCT00000017810	TIGRFAM:TIGR00756
PLSCT00000011646	TIGRFAM:TIGR00231
PLSCT00000011502	TIGRFAM:TIGR02347
PLSCT00000008880	TIGRFAM:TIGR00149
PLSCT00000001295	TIGRFAM:TIGR01559
PLSCT00000016150	TIGRFAM:TIGR00505
PLSCT00000013701	TIGRFAM:TIGR00963
PLSCT00000002471	TIGRFAM:TIGR00687
PLSCT00000004419	TIGRFAM:TIGR03182
PLSCT00000000629	TIGRFAM:TIGR01622
PLSCT00000016638	TIGRFAM:TIGR01344
PLSCT00000007823	TIGRFAM:TIGR01853
PLSCT00000016788	TIGRFAM:TIGR02095
PLSCT00000008512	TIGRFAM:TIGR00756
PLSCT00000013833	TIGRFAM:TIGR00861
PLSCT00000012436	TIGRFAM:TIGR01614
PLSCT00000019289	TIGRFAM:TIGR00562
PLSCT00000009567	TIGRFAM:TIGR00756
PLSCT00000011372	TIGRFAM:TIGR00763
PLSCT00000005905	TIGRFAM:TIGR02749
PLSCT00000019208	TIGRFAM:TIGR00592
PLSCT00000011143	TIGRFAM:TIGR00886
PLSCT00000011654	TIGRFAM:TIGR00614
PLSCT00000006745	TIGRFAM:TIGR00886
PLSCT00000006438	TIGRFAM:TIGR00231
PLSCT00000002469	TIGRFAM:TIGR00687
PLSCT00000001075	TIGRFAM:TIGR00231,TIGRFAM:TIGR00436
PLSCT00000004416	TIGRFAM:TIGR00566
PLSCT00000014102	TIGRFAM:TIGR00309
PLSCT00000020259	TIGRFAM:TIGR00527
PLSCT00000003140	TIGRFAM:TIGR00322
PLSCT00000008176	TIGRFAM:TIGR00861
PLSCT00000007005	TIGRFAM:TIGR02228
PLSCT00000012267	TIGRFAM:TIGR01315
PLSCT00000019740	TIGRFAM:TIGR01494,TIGRFAM:TIGR01517
PLSCT00000008627	TIGRFAM:TIGR01416
PLSCT00000011969	TIGRFAM:TIGR00446
PLSCT00000014401	TIGRFAM:TIGR02095
PLSCT00000004093	TIGRFAM:TIGR00049
PLSCT00000005434	TIGRFAM:TIGR00756
PLSCT00000007214	TIGRFAM:TIGR00685
PLSCT00000001777	TIGRFAM:TIGR02103
PLSCT00000019650	TIGRFAM:TIGR00756
PLSCT00000002859	TIGRFAM:TIGR00756
PLSCT00000014594	TIGRFAM:TIGR01071
PLSCT00000017075	TIGRFAM:TIGR00231
PLSCT00000019703	TIGRFAM:TIGR00756
PLSCT00000019894	TIGRFAM:TIGR01012
