PLSCT00000007050	CDD:cd04254
PLSCT00000009524	CDD:cd00204
PLSCT00000016951	CDD:cd14279
PLSCT00000001197	CDD:cd11299
PLSCT00000005279	CDD:cd03692,CDD:cd03702
PLSCT00000013315	CDD:cd00517
PLSCT00000019449	CDD:cd00143
PLSCT00000002030	CDD:cd00878
PLSCT00000001389	CDD:cd01428
PLSCT00000015507	CDD:cd00051
PLSCT00000015693	CDD:cd04651
PLSCT00000018883	CDD:cd07067
PLSCT00000017629	CDD:cd00051
PLSCT00000000762	CDD:cd14007
PLSCT00000015911	CDD:cd06174
PLSCT00000013505	CDD:cd15587
PLSCT00000009077	CDD:cd03115
PLSCT00000007210	CDD:cd00043
PLSCT00000008237	CDD:cd01517
PLSCT00000003485	CDD:cd00046,CDD:cd00079
PLSCT00000010730	CDD:cd00167
PLSCT00000002268	CDD:cd00167
PLSCT00000020917	CDD:cd04159
PLSCT00000015593	CDD:cd02440
PLSCT00000007371	CDD:cd00162
PLSCT00000003626	CDD:cd03788
PLSCT00000013921	CDD:cd13156
PLSCT00000008090	CDD:cd05121
PLSCT00000005588	CDD:cd06472
PLSCT00000003036	CDD:cd00046
PLSCT00000002231	CDD:cd02947
PLSCT00000018403	CDD:cd02187
PLSCT00000015132	CDD:cd14752
PLSCT00000017500	CDD:cd00403
PLSCT00000009962	CDD:cd00693
PLSCT00000012923	CDD:cd00065,CDD:cd01201,CDD:cd06071
PLSCT00000004178	CDD:cd01883,CDD:cd03693,CDD:cd03705
PLSCT00000014818	CDD:cd00204
PLSCT00000002338	CDD:cd04301
PLSCT00000019088	CDD:cd02440
PLSCT00000011303	CDD:cd05271
PLSCT00000002412	CDD:cd08958
PLSCT00000004398	CDD:cd07816
PLSCT00000004133	CDD:cd00590
PLSCT00000007512	CDD:cd00043
PLSCT00000003287	CDD:cd00018
PLSCT00000004927	CDD:cd07126
PLSCT00000010772	CDD:cd07067
PLSCT00000007752	CDD:cd02736
PLSCT00000011812	CDD:cd02851
PLSCT00000007823	CDD:cd03352
PLSCT00000008253	CDD:cd00433
PLSCT00000013833	CDD:cd00333
PLSCT00000012436	CDD:cd15798
PLSCT00000016582	CDD:cd01583
PLSCT00000011599	CDD:cd06661
PLSCT00000005905	CDD:cd00685
PLSCT00000016724	CDD:cd00371
PLSCT00000007116	CDD:cd05282
PLSCT00000005038	CDD:cd00018
PLSCT00000011654	CDD:cd00046,CDD:cd00079
PLSCT00000006438	CDD:cd01342,CDD:cd01887,CDD:cd03703
PLSCT00000021335	CDD:cd00018
PLSCT00000013638	CDD:cd04413
PLSCT00000002419	CDD:cd06223
PLSCT00000005852	CDD:cd14066
PLSCT00000010041	CDD:cd00075
PLSCT00000001600	CDD:cd00076
PLSCT00000011226	CDD:cd01167
PLSCT00000019490	CDD:cd05117
PLSCT00000008627	CDD:cd03470
PLSCT00000014401	CDD:cd03791
PLSCT00000007401	CDD:cd10017
PLSCT00000007617	CDD:cd00195
PLSCT00000021619	CDD:cd14132
PLSCT00000003581	CDD:cd11715
PLSCT00000019213	CDD:cd05121
PLSCT00000006297	CDD:cd00020
PLSCT00000004217	CDD:cd06578
PLSCT00000011936	CDD:cd13969
PLSCT00000001777	CDD:cd11341
PLSCT00000016319	CDD:cd00593
PLSCT00000010933	CDD:cd00305
PLSCT00000005391	CDD:cd03561
PLSCT00000020014	CDD:cd00200
PLSCT00000020188	CDD:cd00105
PLSCT00000006298	CDD:cd06609
PLSCT00000002074	CDD:cd04188
PLSCT00000019301	CDD:cd00083
PLSCT00000007846	CDD:cd00143
PLSCT00000012122	CDD:cd07017
PLSCT00000020666	CDD:cd04098
PLSCT00000008527	CDD:cd00020
